id,title,category,language,instructor_name
94432,Learn PHP Fundamentals From Scratch,Development,English,Eduonix Learning Solutions
103738,Double Your Confidence & Self Esteem - Complete Blueprint,Personal Development,English,Jimmy Naraine
110240,How to Manage & Influence Your Virtual Team,Business,English,Hassan Osman
111712,C Programming For Beginners,Development,English,Huw Collingbourne
116286,Workshop in Probability and Statistics,Teaching & Academics,English,George Ingersoll
117490,Become a Calculus 1 Master,Teaching & Academics,English,Krista King
118042,PLC Fundamentals (Level I),IT & Software,English,Paul Lynn
120058,Cisco CCNA 200-301 en español,IT & Software,Spanish,German Hernandez
120872,Customer Success | How to Understand Your Customers,Business,English,Chuck Wall
120600,Radiate Confidence: How to Create a 1000 Watt Presence,Personal Development,English,Alexa Fischer
125958,In-Depth Software Testing Training Course From Scratch,Development,English,Vijay Shinde
128082,The Ultimate QuickBooks Pro Training Bundle - 70+ Hours,Office Productivity,English,Simon Sez IT
128786,Oracle PL/SQL Fundamentals vol. I & II,Office Productivity,English,Intellezy Trainers
128550,Microsoft SQL Server 2012 Certification Training Exam 70-461,Development,English,Infinite Skills
129118,Product Management 101,Business,English,Todd Birzer
128946,Learn Responsive Web Development from Scratch,Development,English,Eduonix Learning Solutions
130064,Practical PHP: Master the Basics and Code Dynamic Websites,Development,English,Brad Hussey
131816,The Agile Samurai Bootcamp,Development,English,Jonathan Rasmusson
131416,Hyperthinking: improve your day to day learning & creativity,Personal Development,English,Digital Masterclass - Online Series
133536,Stock Market Investing for Beginners,Finance & Accounting,English,John Ducas
133428,Accounting: From Beginner to Advanced!,Finance & Accounting,English,"Stefan Ignatovski, Ph.D."
137230,The Secrets to Drawing,Lifestyle,English,Matthew Fussell
137144,Public Speaking and Presentations Pro: No Beginners Allowed!,Business,English,Jason Teteak
137216,Train the Trainer 101: For Beginners Only!,Teaching & Academics,English,Jason Teteak
138374,Beginner Nikon Digital SLR (DSLR) Photography,Photography & Video,English,JP Teaches Photo .
139200,Powerful speaking,Business,English,Julian Treasure
139166,Conscious Listening,Business,English,Julian Treasure
142490,Mastering Architecture and Real Estate Photography,Photography & Video,English,Charlie Borland
146156,Become an Android Developer from Scratch,Development,English,Adam Lupu
148902,Fundamentals of Analyzing Real Estate Investments,Business,English,Symon He
149006,Create a WordPress Website for Your Web Design Business,Design,English,Christine Maisel
149910,Linux for Beginners,IT & Software,English,Jason Cannon
151198,"Basics of Scrum, Agile and Project Delivery",Business,English,SCRUMstudy Certification
157842,Hacking in Practice: Intensive Ethical Hacking MEGA Course,IT & Software,English,IT Security Academy
164058,The Ultimate Excel Programmer Course,Development,English,Daniel Strong
164554,AngularJS JumpStart with Dan Wahlin,Development,English,Dan Wahlin
166240,Managing Change:  Learn to thrive through change.,Business,English,Caroline Samne
170840,How to Write the Ultimate 1 Page Strategic Business Plan,Business,English,"William U. Peña, MBA"
171838,Secret Sauce of Great Writing,Business,English,Shani Raja
172336,How to Develop Emotional Resilience to Manage Stress,Personal Development,English,Robin Hills
172572,Learn Database Design with MySQL,Development,English,Eduonix Learning Solutions
173548,Build Your First Website in 1 Week with HTML5 and CSS3,Development,English,Ryan Bonhardt
176138,Business Writing & Technical Writing Immersion,Marketing,English,Starweaver Team
177706,Become a SpeedDemon 1: Productivity Tricks to Have More Time,Personal Development,English,Jonathan Levi
176878,Teach Anybody Anything: Reach Any Learner Anywhere,Teaching & Academics,English,Jason Teteak
180806,Spiritual Shamanic Healing Initiation Into The Munay Ki,Lifestyle,English,Sharon Ramel
181524,Eye-catching presentations using PowerPoint 2013,Office Productivity,English,Ulrika Hedlund
184138,The Authentic Confidence and Self-Esteem Masterclass,Personal Development,English,Kain Ramsay
184636,Online Marketing: SEO & Social Media Marketing Strategy,Marketing,English,Alex Genadinik
187246,SEO Training Masterclass 2022: Beginner SEO To Advanced SEO,Marketing,English,Alex Genadinik
187248,Beginner Affiliate Marketing To Start In 1 Day - For 2022,Marketing,English,Alex Genadinik
189116,Team Leadership & Team Building 2022 Master Class,Business,English,"Lawrence M. Miller, Institute for Leadership Excellence"
191854,Stock Market Foundations,Finance & Accounting,English,Jason Whaling
190894,Remote Viewing Basics- Turn Intuition into Super Psychic,Personal Development,English,Stacey Tallitsch
192004,7 Scientifically Proven Steps to Increase Your Influence,Personal Development,English,Vanessa Van Edwards
195286,Effective Time Management - Get 10X More Done in Less Time,Personal Development,English,"William U. Peña, MBA"
196152,Writing With Flair: How To Become An Exceptional Writer,Business,English,Shani Raja
196320,Advanced agile communication skills for 21st Century leaders,Business,English,Leadapreneur Academy
198866,Master Polite English,Teaching & Academics,English,Dylan Gates
200598,"Learn to play HARMONICA, the easiest instrument to pick up!",Music,English,Ben Hewlett
201966,How to Be Psychic - Psychic Development for Beginners,Lifestyle,English,Sal Jade
201594,Become a Good Matlab Programmer in 30 days,Development,English,Hossein Tootoonchy
203556,SQL for NEWBS: Weekender Crash Course,Business,English,A Course You'll Actually Finish
203732,Value Investing Bootcamp: How to Invest Wisely,Finance & Accounting,English,Nick Kraakman
205270,Salesforce New User Training,Office Productivity,English,Aspiratech Training
208726,Learn Military Close Combat Training | Captain Chris Pizzo,Health & Fitness,English,Chris Pizzo
214008,Fundamentals of Business Analysis,Business,English,Don Hussey
217000,Learn to Program in Javascript: Beginner to Pro,Development,English,Raghavendra Dixit
218794,Become an Algebra Master,Teaching & Academics,English,Krista King
221578,Master the Fundamentals of Math,Teaching & Academics,English,Krista King
221674,"Git Complete: The definitive, step-by-step guide to Git",Development,English,Jason Taylor
221696,Git Going Fast: One Hour Git Crash Course,Development,English,Jason Taylor
222122,Master SketchUp  - A Definitive Guide From Infinite Skills,Design,English,Infinite Skills
225796,Big Data and Hadoop Essentials,Development,English,Nitesh Jain
225022,Build Your Own Cyber Lab at Home,IT & Software,English,Kyle Slosek
230830,Adobe InDesign Made Easy. A Beginners Guide To InDesign,Design,English,Infinite Skills
236676,R Basics - R Programming Language Introduction,Development,English,R-Tutorials Training
236832,Kindle Secrets: How I Wrote a Best Selling eBook In 72 hours,Business,English,Benjamin Wilson
238934,Pianoforall - Incredible New Way To Learn Piano & Keyboard,Music,English,Robin Hall
246314,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,Development,English,Rahul Shetty
